 

stn;time;rre150b0;rre024i0;rre150h0
COM;2013010100;0.0;0.0;0.0
COM;2013010101;0.0;0.0;0.0
COM;2013010102;0.0;0.0;0.0
COM;2013010103;0.0;0.0;0.0
COM;2013010104;0.0;0.0;0.0
COM;2013010105;0.0;0.0;0.0
COM;2013010106;0.0;0.0;0.0
COM;2013010107;0.0;0.0;0.0
COM;2013010108;0.0;0.0;0.0
COM;2013010109;0.0;0.0;0.0
COM;2013010110;0.0;0.0;0.0
COM;2013010111;0.0;0.0;0.0
COM;2013010112;0.0;0.0;0.0
COM;2013010113;0.0;0.0;0.0
COM;2013010114;0.0;0.0;0.0
COM;2013010115;0.0;0.0;0.0
COM;2013010116;0.0;0.0;0.0
COM;2013010117;0.0;0.0;0.0
COM;2013010118;0.0;0.0;0.0
COM;2013010119;0.0;0.0;0.0
COM;2013010120;0.0;0.0;0.0
COM;2013010121;0.0;0.0;0.0
COM;2013010122;0.0;0.0;0.0
COM;2013010123;0.0;0.0;0.0
COM;2013010200;0.0;0.0;0.0
COM;2013010201;0.0;0.0;0.0
COM;2013010202;0.0;0.0;0.0
COM;2013010203;0.0;0.0;0.0
COM;2013010204;0.0;0.0;0.0
COM;2013010205;0.0;0.0;0.0
COM;2013010206;0.0;0.0;0.0
COM;2013010207;0.0;0.0;0.0
COM;2013010208;0.0;0.0;0.0
COM;2013010209;0.0;0.0;0.0
COM;2013010210;0.0;0.0;0.0
COM;2013010211;0.0;0.0;0.0
COM;2013010212;0.0;0.0;0.0
COM;2013010213;0.0;0.0;0.0
COM;2013010214;0.0;0.0;0.0
COM;2013010215;0.0;0.0;0.0
COM;2013010216;0.0;0.0;0.0
COM;2013010217;0.0;0.0;0.0
COM;2013010218;0.0;0.0;0.0
COM;2013010219;0.0;0.0;0.0
COM;2013010220;0.0;0.0;0.0
COM;2013010221;0.0;0.0;0.0
COM;2013010222;0.0;0.0;0.0
COM;2013010223;0.0;0.0;0.0
COM;2013010300;0.0;0.0;0.0
COM;2013010301;0.0;0.0;0.0
COM;2013010302;0.0;0.0;0.0
COM;2013010303;0.0;0.0;0.0
COM;2013010304;0.0;0.0;0.0
COM;2013010305;0.0;0.0;0.0
COM;2013010306;0.0;0.0;0.0
COM;2013010307;0.0;0.0;0.0
COM;2013010308;0.0;0.0;0.0
COM;2013010309;0.0;0.0;0.0
COM;2013010310;0.0;0.0;0.0
COM;2013010311;0.0;0.0;0.0
COM;2013010312;0.0;0.0;0.0
COM;2013010313;0.0;0.0;0.0
COM;2013010314;0.0;0.0;0.0
COM;2013010315;0.0;0.0;0.0
COM;2013010316;0.0;0.0;0.0
COM;2013010317;0.0;0.0;0.0
COM;2013010318;0.0;0.0;0.0
COM;2013010319;0.0;0.0;0.0
COM;2013010320;0.0;0.0;0.0
COM;2013010321;0.0;0.0;0.0
COM;2013010322;0.0;0.0;0.0
COM;2013010323;0.0;0.0;0.0
COM;2013010400;0.0;0.0;0.0
COM;2013010401;0.0;0.0;0.0
COM;2013010402;0.0;0.0;0.0
COM;2013010403;0.0;0.0;0.0
COM;2013010404;0.0;0.0;0.0
COM;2013010405;0.0;0.0;0.0
COM;2013010406;0.0;0.0;0.0
COM;2013010407;0.0;0.0;0.0
COM;2013010408;0.0;0.0;0.0
COM;2013010409;0.0;0.0;0.0
COM;2013010410;0.0;0.0;0.0
COM;2013010411;0.0;0.0;0.0
COM;2013010412;0.0;0.0;0.0
COM;2013010413;0.0;0.0;0.0
COM;2013010414;0.0;0.0;0.0
COM;2013010415;0.0;0.0;0.0
COM;2013010416;0.0;0.0;0.0
COM;2013010417;0.0;0.0;0.0
COM;2013010418;0.0;0.0;0.0
COM;2013010419;0.0;0.0;0.0
COM;2013010420;0.0;0.0;0.0
COM;2013010421;0.0;0.0;0.0
COM;2013010422;0.0;0.0;0.0
COM;2013010423;0.0;0.0;0.0
COM;2013010500;0.0;0.0;0.0
COM;2013010501;0.0;0.0;0.0
COM;2013010502;0.0;0.0;0.0
COM;2013010503;0.0;0.0;0.0
COM;2013010504;0.0;0.0;0.0
COM;2013010505;0.0;0.0;0.0
COM;2013010506;0.0;0.0;0.0
COM;2013010507;0.0;0.0;0.0
