DATE,DOY,DOS,DUR,WOD,,BER,THU,VIS,BRI,BIN,ULR,COM,SBO
19.08.2014,231,80,71,11,,2.2,7.7,2.4,2,1.7,1.8,0.1,3.5
20.08.2014,232,81,72,11,,1.6,0.6,0,0,0,0,5.7,8.1
21.08.2014,233,82,73,11,,0.1,0,0,0,0,11.2,0,0
22.08.2014,234,83,74,11,,0,0,0,0,0,0,0,3.6
23.08.2014,235,84,75,11,,0,0,0,0,0,5.4,0,9.4
24.08.2014,236,85,76,11,,4,9.5,0,0,0,2,0,0
25.08.2014,237,86,,,,1.1,0,0,0,1.3,0.6,0,23.9
26.08.2014,238,87,,,,11.1,19.5,33.8,27.3,31.4,24.2,7.9,1.8
27.08.2014,239,88,,,,1.9,7.3,0,0,0,0.1,0,0
28.08.2014,240,89,,,,0,0,0,,0,0,0,2.3
29.08.2014,241,90,,,,0,19.1,0,,0.4,17.1,5.5,0
30.08.2014,242,91,,,,0,0,0.1,,0,10.5,1,0
31.08.2014,243,92,,,,2,5.2,2.5,,7.9,13.6,3.5,0.6
01.09.2014,244,93,,,,0.5,2.4,0.5,,7.9,7.2,0.9,0
02.09.2014,245,94,,,,0,0,0,,0,0,0,0
03.09.2014,246,95,,,,0,0,0,,0,0,0,0
04.09.2014,247,96,,,,0,0,0,,0,0,0,0
05.09.2014,248,97,,,,0,0.7,0.4,,2.6,3.5,11.2,0.6
06.09.2014,249,98,,,,0,0,0,,0,0.1,0.1,0
07.09.2014,250,99,,,,0,0,0,,0,0,0,0
08.09.2014,251,,,,,0,0,0,,0,1.7,2,0.1
09.09.2014,252,,,,,2.3,11.9,2.4,,0.4,1.4,0.4,8.6
10.09.2014,253,,,,,1.6,0,0,,1,0,0,0
11.09.2014,254,,,,,0,0,0,,0,0,0,0
12.09.2014,255,,,,,0.7,0.1,0,,0,2.7,0,0
13.09.2014,256,,,,,0,0,0,,0,0,0,0
14.09.2014,257,,,,,0,0,0,,0,0,0,0
15.09.2014,258,,,,,0,2.5,0,,0,0.4,0,0.1
16.09.2014,259,,,,,0,0,0,,0,0,0.4,0
17.09.2014,260,,,,,0.5,0,0,,0,0,0,0
18.09.2014,261,,,,,0.2,0.2,0,,0.1,0,3.7,0.4
19.09.2014,262,,,,,1,1.2,0,,0.6,0,5.9,15.9
20.09.2014,263,,,,,2.1,0.1,0,,0,0.5,0,0
21.09.2014,264,,,,,3.5,29.2,4.9,,3.9,6,0,0
22.09.2014,265,,,,,>.5,>9,,,>.4,>3.5,,
23.09.2014,266,,,,,,,,,,,,
24.09.2014,267,,,,,,,,,,,,
25.09.2014,268,,,,,0.1,0.1,0.1,,0,7.6,0,0
26.09.2014,269,,,,,0,0,0,,0.2,0,0,0
27.09.2014,270,,,,,0,0,0,,0,0,0,0
28.09.2014,271,,,,,0,0,0,,0,0,0,0
29.09.2014,272,,,,,0,0,0,,0,0,0,0
30.09.2014,273,,,,,0.2,3.3,0.7,,1.6,1.7,0.4,0.8
01.10.2014,274,,,,,0.4,0.9,0,,0,0.1,0.1,0.2
02.10.2014,275,,,,,0,0,0,,0,0,0,0
03.10.2014,276,,,,,0,0,0,,0.2,0,0,0
04.10.2014,277,,,,,1.5,0.4,0,,0,1.1,5.1,0
05.10.2014,278,,,,,11.6,4.4,0,,0,0.9,5.2,0
06.10.2014,279,,,,,0.1,0.4,2.7,,1.2,1.6,5.1,0
07.10.2014,280,,,,,21.6,3,0,,0.2,0.3,4.1,10.9
08.10.2014,281,,,,,6.8,5.9,0,,0,0.1,8.2,4
09.10.2014,282,,,,,0.1,0,0,,0,0.2,6.3,1.7
10.10.2014,283,,,,,3.3,0.5,0,,1.8,0,21.7,3.1
11.10.2014,284,,,,,4.6,1.7,1.2,,2.6,0.4,27.8,73
12.10.2014,285,,,,,,,,,,,,
13.10.2014,286,,,,,,,,,,,,
14.10.2014,287,,,,,,,,,,,,
15.10.2014,288,,,,,,,,,,,,
16.10.2014,289,,,,,,,,,,,,
17.10.2014,290,,,,,,,,,,,,
18.10.2014,291,,,,,,,,,,,,
19.10.2014,292,,,,,,,,,,,,
20.10.2014,293,,,,,,,,,,,,
21.10.2014,294,,,,,,,,,,,,
22.10.2014,295,,,,,,,,,,,,
23.10.2014,296,,,,,,,,,,,,
24.10.2014,297,,,,,,,,,,,,
25.10.2014,298,,,,,,,,,,,,
26.10.2014,299,,,,,,,,,,,,
27.10.2014,300,,,,,,,,,,,,
28.10.2014,301,,,,,,,,,,,,
29.10.2014,302,,,,,,,,,,,,
30.10.2014,303,,,,,,,,,,,,
31.10.2014,304,,,,,,,,,,,,
